Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
143,25.0,CartPole-v1,100000.0,0.0001,0.99,5,5
144,30.0,CartPole-v1,100000.0,0.0001,0.99,5,5
145,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
146,39.0,CartPole-v1,100000.0,0.0001,0.99,5,5
147,18.0,CartPole-v1,100000.0,0.0001,0.99,5,5
148,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
149,18.0,CartPole-v1,100000.0,0.0001,0.99,5,5
150,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
151,71.0,CartPole-v1,100000.0,0.0001,0.99,5,5
152,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
153,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
154,21.0,CartPole-v1,100000.0,0.0001,0.99,5,5
155,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
156,22.0,CartPole-v1,100000.0,0.0001,0.99,5,5
157,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
158,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
159,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
160,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
161,16.0,CartPole-v1,100000.0,0.0001,0.99,5,5
162,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
163,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
164,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
165,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
166,38.0,CartPole-v1,100000.0,0.0001,0.99,5,5
167,36.0,CartPole-v1,100000.0,0.0001,0.99,5,5
168,26.0,CartPole-v1,100000.0,0.0001,0.99,5,5
169,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
170,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
171,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
172,21.0,CartPole-v1,100000.0,0.0001,0.99,5,5
173,16.0,CartPole-v1,100000.0,0.0001,0.99,5,5
174,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
175,37.0,CartPole-v1,100000.0,0.0001,0.99,5,5
176,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
177,48.0,CartPole-v1,100000.0,0.0001,0.99,5,5
178,19.0,CartPole-v1,100000.0,0.0001,0.99,5,5
179,47.0,CartPole-v1,100000.0,0.0001,0.99,5,5
180,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
181,44.0,CartPole-v1,100000.0,0.0001,0.99,5,5
182,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
183,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
184,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
185,28.0,CartPole-v1,100000.0,0.0001,0.99,5,5
186,21.0,CartPole-v1,100000.0,0.0001,0.99,5,5
187,11.0,CartPole-v1,100000.0,0.0001,0.99,5,5
188,40.0,CartPole-v1,100000.0,0.0001,0.99,5,5
189,25.0,CartPole-v1,100000.0,0.0001,0.99,5,5
190,19.0,CartPole-v1,100000.0,0.0001,0.99,5,5
191,22.0,CartPole-v1,100000.0,0.0001,0.99,5,5
192,40.0,CartPole-v1,100000.0,0.0001,0.99,5,5
193,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
194,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
195,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
196,38.0,CartPole-v1,100000.0,0.0001,0.99,5,5
197,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
198,29.0,CartPole-v1,100000.0,0.0001,0.99,5,5
199,31.0,CartPole-v1,100000.0,0.0001,0.99,5,5
200,36.0,CartPole-v1,100000.0,0.0001,0.99,5,5
201,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
202,27.0,CartPole-v1,100000.0,0.0001,0.99,5,5
203,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
204,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
205,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
206,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
207,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
208,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
209,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
210,11.0,CartPole-v1,100000.0,0.0001,0.99,5,5
211,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
