Episode,Episode Score,Environment,Max Episodes,Seed
410,17.0,CartPole-v1,100000.0,9
411,39.0,CartPole-v1,100000.0,9
412,10.0,CartPole-v1,100000.0,9
413,14.0,CartPole-v1,100000.0,9
414,15.0,CartPole-v1,100000.0,9
415,37.0,CartPole-v1,100000.0,9
416,18.0,CartPole-v1,100000.0,9
417,21.0,CartPole-v1,100000.0,9
418,9.0,CartPole-v1,100000.0,9
419,21.0,CartPole-v1,100000.0,9
420,15.0,CartPole-v1,100000.0,9
421,29.0,CartPole-v1,100000.0,9
422,20.0,CartPole-v1,100000.0,9
423,17.0,CartPole-v1,100000.0,9
424,16.0,CartPole-v1,100000.0,9
425,12.0,CartPole-v1,100000.0,9
426,16.0,CartPole-v1,100000.0,9
427,32.0,CartPole-v1,100000.0,9
428,17.0,CartPole-v1,100000.0,9
429,13.0,CartPole-v1,100000.0,9
430,14.0,CartPole-v1,100000.0,9
431,27.0,CartPole-v1,100000.0,9
432,12.0,CartPole-v1,100000.0,9
433,19.0,CartPole-v1,100000.0,9
434,15.0,CartPole-v1,100000.0,9
435,42.0,CartPole-v1,100000.0,9
436,15.0,CartPole-v1,100000.0,9
437,54.0,CartPole-v1,100000.0,9
438,33.0,CartPole-v1,100000.0,9
439,20.0,CartPole-v1,100000.0,9
440,31.0,CartPole-v1,100000.0,9
441,16.0,CartPole-v1,100000.0,9
442,13.0,CartPole-v1,100000.0,9
443,9.0,CartPole-v1,100000.0,9
444,12.0,CartPole-v1,100000.0,9
445,21.0,CartPole-v1,100000.0,9
446,14.0,CartPole-v1,100000.0,9
447,16.0,CartPole-v1,100000.0,9
448,10.0,CartPole-v1,100000.0,9
449,23.0,CartPole-v1,100000.0,9
450,13.0,CartPole-v1,100000.0,9
451,30.0,CartPole-v1,100000.0,9
452,19.0,CartPole-v1,100000.0,9
453,26.0,CartPole-v1,100000.0,9
454,10.0,CartPole-v1,100000.0,9
455,10.0,CartPole-v1,100000.0,9
456,48.0,CartPole-v1,100000.0,9
457,30.0,CartPole-v1,100000.0,9
458,42.0,CartPole-v1,100000.0,9
459,12.0,CartPole-v1,100000.0,9
460,15.0,CartPole-v1,100000.0,9
461,11.0,CartPole-v1,100000.0,9
462,16.0,CartPole-v1,100000.0,9
463,59.0,CartPole-v1,100000.0,9
464,9.0,CartPole-v1,100000.0,9
465,12.0,CartPole-v1,100000.0,9
466,16.0,CartPole-v1,100000.0,9
467,21.0,CartPole-v1,100000.0,9
468,25.0,CartPole-v1,100000.0,9
469,15.0,CartPole-v1,100000.0,9
470,18.0,CartPole-v1,100000.0,9
471,21.0,CartPole-v1,100000.0,9
472,58.0,CartPole-v1,100000.0,9
473,16.0,CartPole-v1,100000.0,9
474,20.0,CartPole-v1,100000.0,9
475,42.0,CartPole-v1,100000.0,9
476,11.0,CartPole-v1,100000.0,9
477,13.0,CartPole-v1,100000.0,9
478,22.0,CartPole-v1,100000.0,9
479,26.0,CartPole-v1,100000.0,9
480,12.0,CartPole-v1,100000.0,9
481,21.0,CartPole-v1,100000.0,9
482,18.0,CartPole-v1,100000.0,9
483,12.0,CartPole-v1,100000.0,9
484,10.0,CartPole-v1,100000.0,9
485,18.0,CartPole-v1,100000.0,9
486,10.0,CartPole-v1,100000.0,9
487,26.0,CartPole-v1,100000.0,9
488,22.0,CartPole-v1,100000.0,9
489,26.0,CartPole-v1,100000.0,9
490,17.0,CartPole-v1,100000.0,9
491,28.0,CartPole-v1,100000.0,9
492,13.0,CartPole-v1,100000.0,9
493,12.0,CartPole-v1,100000.0,9
494,11.0,CartPole-v1,100000.0,9
495,14.0,CartPole-v1,100000.0,9
496,18.0,CartPole-v1,100000.0,9
497,15.0,CartPole-v1,100000.0,9
