Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Seed
162,16.0,CartPole-v1,100000.0,0.001,0.99,5
163,15.0,CartPole-v1,100000.0,0.001,0.99,5
164,17.0,CartPole-v1,100000.0,0.001,0.99,5
165,22.0,CartPole-v1,100000.0,0.001,0.99,5
166,22.0,CartPole-v1,100000.0,0.001,0.99,5
167,13.0,CartPole-v1,100000.0,0.001,0.99,5
168,11.0,CartPole-v1,100000.0,0.001,0.99,5
169,27.0,CartPole-v1,100000.0,0.001,0.99,5
170,21.0,CartPole-v1,100000.0,0.001,0.99,5
171,35.0,CartPole-v1,100000.0,0.001,0.99,5
172,18.0,CartPole-v1,100000.0,0.001,0.99,5
173,26.0,CartPole-v1,100000.0,0.001,0.99,5
174,17.0,CartPole-v1,100000.0,0.001,0.99,5
175,22.0,CartPole-v1,100000.0,0.001,0.99,5
176,16.0,CartPole-v1,100000.0,0.001,0.99,5
177,24.0,CartPole-v1,100000.0,0.001,0.99,5
178,14.0,CartPole-v1,100000.0,0.001,0.99,5
179,20.0,CartPole-v1,100000.0,0.001,0.99,5
180,19.0,CartPole-v1,100000.0,0.001,0.99,5
181,45.0,CartPole-v1,100000.0,0.001,0.99,5
182,15.0,CartPole-v1,100000.0,0.001,0.99,5
183,9.0,CartPole-v1,100000.0,0.001,0.99,5
184,10.0,CartPole-v1,100000.0,0.001,0.99,5
185,25.0,CartPole-v1,100000.0,0.001,0.99,5
186,24.0,CartPole-v1,100000.0,0.001,0.99,5
187,25.0,CartPole-v1,100000.0,0.001,0.99,5
188,13.0,CartPole-v1,100000.0,0.001,0.99,5
189,10.0,CartPole-v1,100000.0,0.001,0.99,5
190,27.0,CartPole-v1,100000.0,0.001,0.99,5
191,15.0,CartPole-v1,100000.0,0.001,0.99,5
192,17.0,CartPole-v1,100000.0,0.001,0.99,5
193,21.0,CartPole-v1,100000.0,0.001,0.99,5
194,21.0,CartPole-v1,100000.0,0.001,0.99,5
195,13.0,CartPole-v1,100000.0,0.001,0.99,5
196,17.0,CartPole-v1,100000.0,0.001,0.99,5
197,24.0,CartPole-v1,100000.0,0.001,0.99,5
198,19.0,CartPole-v1,100000.0,0.001,0.99,5
199,28.0,CartPole-v1,100000.0,0.001,0.99,5
200,29.0,CartPole-v1,100000.0,0.001,0.99,5
201,22.0,CartPole-v1,100000.0,0.001,0.99,5
202,44.0,CartPole-v1,100000.0,0.001,0.99,5
203,25.0,CartPole-v1,100000.0,0.001,0.99,5
204,37.0,CartPole-v1,100000.0,0.001,0.99,5
